Profit: -0.5825447316958048, Difference: -0.19947425370193628
Profit: -0.4375268770433678, Difference: 0.05449713110404275
Profit: -0.4912845381379327, Difference: 0.09712061057182098
Profit: -0.6887423529406647, Difference: 0.2993947621138915
Profit: -0.5874982846805779, Difference: 0.08544974025905105
Profit: -0.5982781393060179, Difference: 0.0615723997064066
Profit: -1.9641190744571162, Difference: 0.9761279706996078
Profit: -0.3943183217726869, Difference: -0.009409764063178727
Profit: -0.3798177051048697, Difference: 0.024693068259111328
Profit: -0.4231704898501931, Difference: 0.04445045980357065
Profit: -0.423328186907483, Difference: -0.01279602332937202
Profit: -0.47505905955163996, Difference: 0.13672147710605032
Profit: -0.3642897679158068, Difference: 0.07631599978222425
Profit: -0.43557767937200254, Difference: -0.03728337810099447
Profit: -0.5997761655980582, Difference: 0.045540941935058754
Profit: -0.5062827205438793, Difference: 0.15576927178209132
Profit: -0.2490054490604905, Difference: 0.033448457259481756
Profit: -0.3085460881483044, Difference: -0.05013139974326464
Profit: -0.3159472691521046, Difference: 0.05224618500230349
Profit: -0.7612276973512593, Difference: 0.0845276016153349
Profit: -0.3843082604864776, Difference: -0.0333371699055931
Profit: -0.45173248789673437, Difference: 0.07050888051782067
Profit: -0.31480918327606844, Difference: -0.07774887729097202
Profit: -0.3496198358264735, Difference: -0.020173823947786218
Profit: -0.27486833810448275, Difference: -0.017536238239287627
Profit: -0.42122971761163797, Difference: -0.1845678656778773
Profit: -0.33282669289594935, Difference: 0.03791965141213893
Profit: -0.6878621810384828, Difference: 0.3150344461629402
Profit: -0.27342446557496203, Difference: 0.027657317894153266
Profit: -0.36211553488479353, Difference: 0.12800626505595858
Profit: -0.29641264377760024, Difference: 0.07924200830903771
Profit: -0.49191647436892083, Difference: -0.055892599224236506
Profit: -0.43239297099502494, Difference: 0.017374931589515086
Profit: -0.8668652038956992, Difference: 0.32971443385459054
Profit: -0.8846884931434715, Difference: 0.19342917229388945
Profit: -0.27064511883891385, Difference: 0.008160502047630303
Profit: -0.3285515943351953, Difference: -0.04646369368155945
Profit: -0.4506683191265779, Difference: 0.07227815936859372
Profit: -0.3866356432447873, Difference: -0.02627835076079066
Profit: -0.6419655872663412, Difference: 0.18570912956323582
Profit: -0.513417883534899, Difference: 0.17203494888039472
Profit: -0.5420907207531656, Difference: 0.055578497496043155
Profit: -0.22922592926252605, Difference: -0.020811664832805832
Profit: -0.733877693737611, Difference: 0.3613098613866015
Profit: -0.7495007435560836, Difference: -0.03946522447986922
Profit: -0.3018766943617379, Difference: -0.009790909203857723
Profit: -0.47343972692335967, Difference: -0.05650311273095099
Profit: -0.3968170101660604, Difference: 0.05377102899144859
Profit: -0.6546152252380892, Difference: 0.5613503356517953
Profit: -0.2487463122726581, Difference: 0.008154236110968327
Profit: -0.8461446401705359, Difference: 0.04384734256667855
Profit: -0.3015213965920651, Difference: 0.05053270014033728
Profit: -0.5742769455798111, Difference: -0.012727215978316053
Profit: -0.3703696276573254, Difference: 0.01808550977537493
Profit: -0.6926700328364035, Difference: 0.11686676404960394
Profit: -0.7725588841329198, Difference: 0.05354097552721271
Profit: -0.3181387681877794, Difference: -0.025814680335884077
Profit: -0.39729337870228676, Difference: -0.08612480830893787
Profit: -0.29189580953271843, Difference: 0.014717969016018628
Profit: -0.34206814305900934, Difference: 0.04364809321384655
Profit: -0.2669935182001808, Difference: 0.017799887763928268
Profit: -0.5733949366173476, Difference: -0.07893182215137529
Profit: -0.737845539959622, Difference: 0.18574642606559166
Profit: -0.46584252375390633, Difference: 0.08931946399354729
Profit: -0.9549241058908962, Difference: 0.331519467562444
Profit: -0.48844890856933887, Difference: 0.0530204344669869
Profit: -0.3206622351807624, Difference: -0.042867737658028204
Profit: -0.49257447924057374, Difference: 0.1366707705532093
Profit: -0.6834291217666504, Difference: -0.030742493737307086
Profit: -0.5539508262453978, Difference: 0.05508179573124039
Profit: -0.3670940660538946, Difference: -0.04619263271700902
Profit: -0.27172317125787515, Difference: -0.17142771410279067
Profit: -1.4071699924186163, Difference: 0.7851855196364426
Profit: -1.0534060079534129, Difference: 0.1674347324873935
Profit: -0.2941384000965286, Difference: -0.134224141950952
Profit: -0.7416005474883747, Difference: -0.04091655017479923
Profit: -0.5581603387320797, Difference: -0.10970893539536064
Profit: -0.2883568977906634, Difference: -0.029984841265104478
Profit: -0.3292944063216936, Difference: 0.02590346877637728
Profit: -0.3970700737746711, Difference: -0.019363323470130922
Profit: -0.3330373780756446, Difference: -0.043636558452163854
Profit: -0.7328391144243085, Difference: -0.06267874535754459
Profit: -0.3350070419680975, Difference: -0.1583258146353046
Profit: -0.474435134054616, Difference: -0.0833538030144041
Profit: -0.8858420961269076, Difference: 0.4083887006412681
Profit: -0.38636283482264844, Difference: -0.03435887880652899
Profit: -0.7464155257687821, Difference: 0.128166693493867
Profit: -0.3873432195732107, Difference: 0.09027540269777035
Profit: -0.47558601547943624, Difference: -0.19545935282800997
Profit: -0.8152191033873493, Difference: 0.036228663658576465
Profit: -0.8387975630348166, Difference: -0.07878458327270721
Profit: -0.4386022014836328, Difference: 0.04367873594952698
Profit: -0.3513738509219877, Difference: 0.020293165489334797
Profit: -0.2997710501759627, Difference: 0.01909358545870532
Profit: -0.6830981336126314, Difference: -0.0606917852880855
Profit: -0.29280081904943245, Difference: -0.036793909503956
Profit: -0.3522088335575404, Difference: 0.038759868675910525
Profit: -0.2588892155248317, Difference: 0.018046661271881703
Profit: -0.3156815708625089, Difference: 0.021248361584270015
Profit: -0.6085602038709794, Difference: 0.016120849495081302
Profit: -0.28174975400717983, Difference: 0.010422403613063125
Profit: -0.3025903725612977, Difference: 0.05412840675610653
Profit: -0.316590684573697, Difference: -0.19205748097063235
Profit: -0.3345029250213827, Difference: 0.04958779520592316
Profit: -0.388417786891992, Difference: -0.00979475117414097
Profit: -0.35277341027799025, Difference: -0.09785830598087841
Profit: -0.8297946511962948, Difference: -0.034426782548294455
Profit: -0.3556955306436862, Difference: -0.12916911831248967
Profit: -0.3001726938527156, Difference: -0.07503737212879003
Profit: -0.44441453497384487, Difference: 0.03674785388358259
Profit: -0.44463994112470573, Difference: 0.03742560292093344
Profit: -0.6337400762692482, Difference: -0.07032383899912986
Profit: -0.5215193965274096, Difference: 0.09717978840006936
Profit: -0.40284020514796737, Difference: -0.08590926740235716
Profit: -0.9595674994546641, Difference: 0.6124524329220549
Profit: -0.34444709776400373, Difference: -0.19941473307476087
Profit: -0.30311729893618633, Difference: 0.05930670725008724
Profit: -0.277307588994006, Difference: -0.04975158972342797
Profit: -0.3421715136305181, Difference: 0.04545053493392004
Profit: -0.5060078914042236, Difference: 0.10288310215382523
Profit: -0.6963463192182218, Difference: 0.032211476111726256
Profit: -0.27497677836056766, Difference: -0.03661065586271661
Profit: -0.42092439647679214, Difference: 0.09142459591605245
Profit: -0.260371574679624, Difference: -0.169402990531907
Profit: -0.47001743583375344, Difference: 0.13324331893271335
Profit: -0.3103522835901913, Difference: -0.03377697538822133
Profit: -0.42068323941310837, Difference: 0.017291881788963792
Profit: -0.5675052871578856, Difference: -0.06645247039345747
Profit: -0.9054162810184891, Difference: 0.24641019181953538
Profit: -0.4182876946894112, Difference: 0.11813399486393905
Profit: -0.7873261458513952, Difference: 0.5018906258552249
Profit: -0.6824434302877336, Difference: 0.1176065104468762
Profit: -0.4039676325229635, Difference: -0.1471962405178573
Profit: -0.5842894485485175, Difference: -0.1876197634955048
Profit: -0.39655462173510614, Difference: 0.013857478588917616
Profit: -0.5449714133502255, Difference: -0.06436391006785414
